sub,hr,congruent,rsi
280437,0.3684210526315789,1,4
280438,0.4,1,4
280440,0.47058823529411764,1,4
280444,0.4,1,4
280281,0.30434782608695654,0,4
280282,0.38461538461538464,0,4
280283,0.3684210526315789,0,4
280285,0.5294117647058824,0,4
280286,0.5454545454545454,0,4
280288,0.2777777777777778,0,4
280289,0.5,0,4
280292,0.6,0,4
280297,0.3076923076923077,0,4
280298,0.42857142857142855,0,4
280299,0.2777777777777778,0,4
280300,0.38461538461538464,0,4
280301,0.7272727272727273,0,4
280302,0.35714285714285715,0,4
280303,0.45454545454545453,0,4
280304,0.4375,0,4
280305,0.5833333333333334,0,4
280306,0.5789473684210527,0,4
280307,0.4666666666666667,0,4
280308,0.5,0,4
280309,0.6923076923076923,0,4
280310,0.7272727272727273,0,4
280311,0.5454545454545454,0,4
280312,0.3,0,4
280313,0.5333333333333333,0,4
280314,0.4375,0,4
280315,0.4375,0,4
280316,0.5,0,4
280317,0.2222222222222222,0,4
280318,0.5,0,4
280320,0.6190476190476191,0,4
280321,0.4166666666666667,0,4
280322,0.35714285714285715,0,4
280325,0.4166666666666667,0,4
280326,0.3333333333333333,0,4
280327,0.5263157894736842,0,4
280328,0.7142857142857143,0,4
280329,0.4117647058823529,0,4
280330,0.39285714285714285,0,4
280332,0.5294117647058824,0,4
280333,0.7,0,4
280334,0.5833333333333334,0,4
280335,0.7619047619047619,0,4
280336,0.4375,0,4
280337,0.6470588235294118,0,4
280339,0.5625,0,4
280340,0.23529411764705882,0,4
280342,0.2,0,4
280343,0.6842105263157895,0,4
280344,0.29411764705882354,0,4
280345,0.47058823529411764,0,4
280346,0.5416666666666666,0,4
280347,0.375,0,4
280349,0.15789473684210525,0,4
280350,0.45454545454545453,0,4
280351,0.36363636363636365,0,4
280352,0.35294117647058826,0,4
280353,0.6,0,4
280354,0.4444444444444444,0,4
280355,0.35,0,4
280356,0.29411764705882354,0,4
280357,0.5882352941176471,0,4
280360,0.3,0,4
280361,0.45,0,4
280362,0.3684210526315789,0,4
280363,0.6842105263157895,0,4
280364,0.5416666666666666,0,4
280365,0.30434782608695654,0,4
280367,0.4,0,4
280368,0.4,0,4
280369,0.14285714285714285,0,4
280370,0.375,0,4
280371,0.4666666666666667,0,4
280372,0.5714285714285714,0,4
280373,0.3157894736842105,0,4
280374,0.7333333333333333,0,4
280375,0.3333333333333333,0,4
280376,0.5416666666666666,0,4
280377,0.8333333333333334,0,4
280379,0.14285714285714285,0,4
280380,0.5714285714285714,0,4
280383,0.6086956521739131,0,4
280384,0.4,0,4
280385,0.45454545454545453,0,4
280386,0.4,0,4
280387,0.36,0,4
280389,0.4666666666666667,0,4
280391,0.36363636363636365,0,4
280392,0.5,0,4
280395,0.375,0,4
280396,0.3888888888888889,0,4
280398,0.5294117647058824,0,4
280403,0.75,0,4
280404,0.6666666666666666,0,4
280405,0.25,0,4
280406,0.45454545454545453,0,4
280408,0.3888888888888889,0,4
280409,0.35,0,4
280411,0.23529411764705882,0,4
280412,0.55,0,4
280413,0.6666666666666666,0,4
280418,0.6,0,4
280419,0.5,0,4
280420,0.35,0,4
280422,0.3333333333333333,0,4
280428,0.5,0,4
